Brick name,Brick #,Color,Qty
BRICK 1X1,300526,Black,6
BRICK 1X1,4211098,Dark stone grey,1
BRICK 1X10,611101,White,1
BRICK 1X10,611126,Black,1
BRICK 1X12,611226,Black,4
BRICK 1X2,300426,Black,7
BRICK 1X2,300401,White,2
BRICK 1X4,301026,Black,4
BRICK 1X4,301021,Bright red,0
BRICK 1X6,300921,Bright red,0
BRICK 1X6,300926,Black,4
BRICK 1X6,4211100,Dark stone grey,2
BRICK 1X6 W/BOW,4160393,Black,2
BRICK 1X8,4211099,Dark stone grey,2
FLAT TILE 1X8,416226,Black,12
FLAT TILE 2X4,4560179,Bright red,2
PLATE 1X12,4514843,Bright red,15
PLATE 1X3,362326,Black,2
PLATE 1X3,362321,Bright red,2
PLATE 1X4,371021,Bright red,5
PLATE 1X6,366621,Bright red,2
PLATE 2X12,4255035,Bright red,2
PLATE 2X2,302221,Bright red,3
"PLATE 2X2, CORNER, 45 DEG.",6173961,Bright red,20
"PLATE 2X2, CORNER, 45 DEG.",6174243,Black,2
PLATE W. BOW  2X2X2/3,6105976,Bright red,5
ROOF TILE 1X3/25Â°,428626,Black,6
ROUND PLATE 1X1,614121,Bright red,6
"TILE 2X2, W/ DEG. 45 CUT",6351892,Bright red,4
WALL ELEMENT 1X4X1 ABS,6046379,Bright red,6
